epoch,test_acc,train_acc,test_loss,train_loss,Next training size
-1,0,0,0,0,1000
0,0.6135183572769165,0.8544921875,1.3765136003494263,0.41383233666419983,1100
1,0.670127809047699,0.9214285612106323,1.2478257417678833,0.2711015045642853,1200
2,0.6601437926292419,0.8947368264198303,1.230790615081787,0.31668946146965027,1300
3,0.6731230020523071,0.894817054271698,1.1509699821472168,0.3074107766151428,1400
4,0.6466653347015381,0.8823390603065491,1.2439035177230835,0.33355405926704407,1500
5,0.6607428193092346,0.9059650301933289,1.2457420825958252,0.2874247431755066,1600
6,0.6926916837692261,0.8968750238418579,1.1468278169631958,0.2977883219718933,1700
7,0.6844049692153931,0.8524305820465088,1.0831462144851685,0.41338425874710083,1800
8,0.7044728398323059,0.859100878238678,0.9894399642944336,0.40345489978790283,1900
9,0.6876996755599976,0.902256965637207,1.1728450059890747,0.28695517778396606,2000
10,0.7073681950569153,0.9002976417541504,1.081490397453308,0.2897251546382904,2100
11,0.7184504866600037,0.8922348618507385,0.942516565322876,0.3248831033706665,2200
12,0.6797124743461609,0.8881340622901917,1.1247212886810303,0.32418474555015564,2300
13,0.7154552936553955,0.9079241156578064,1.0112038850784302,0.26090845465660095,2400
14,0.7219448685646057,0.8849999904632568,0.9705192446708679,0.3135248124599457,2500
15,0.7211461663246155,0.8884493708610535,0.9744871258735657,0.31489405035972595,2600
16,0.7292332053184509,0.9115853905677795,0.9518625736236572,0.26319852471351624,2700
17,0.717052698135376,0.9125000238418579,1.0588815212249756,0.26023826003074646,2800
18,0.7302316427230835,0.8970170617103577,0.9654226303100586,0.28512030839920044,2900
19,0.7322284579277039,0.8996565937995911,0.8996678590774536,0.2976914942264557,3000
20,0.7214456796646118,0.8910682201385498,0.9530332684516907,0.3204856514930725,3100
21,0.7487020492553711,0.8854933381080627,0.8380419611930847,0.3202416002750397,3200
22,0.7519968152046204,0.9071875214576721,0.8927068114280701,0.27071312069892883,3300
23,0.7402156591415405,0.883713960647583,0.8683668375015259,0.32023492455482483,3400
24,0.7446086406707764,0.8951518535614014,0.8352771401405334,0.30238837003707886,3500
25,0.7280351519584656,0.8912878632545471,0.8798208832740784,0.30039846897125244,3600
26,0.7632787823677063,0.8932521939277649,0.768349289894104,0.30480992794036865,3700
27,0.7526956796646118,0.8981142640113831,0.8974583148956299,0.2754141688346863,3800
28,0.7307308316230774,0.906862735748291,0.9083676338195801,0.2738901972770691,3900
29,0.7157548069953918,0.8991144299507141,0.9805075526237488,0.27852097153663635,4000
30,0.7578873634338379,0.9004999995231628,0.8337976336479187,0.2809053659439087,4100
31,0.7291333675384521,0.8839631676673889,0.9167843461036682,0.3217981457710266,4200
32,0.7489017844200134,0.8934659361839294,0.8428704738616943,0.3070150911808014,4300
33,0.7612819671630859,0.9030092358589172,0.9142425060272217,0.276654452085495,4400
34,0.7697683572769165,0.9069293737411499,0.8053849935531616,0.2724777162075043,4500
35,0.7642771601676941,0.8995124101638794,0.7948186993598938,0.3033124506473541,4600
36,0.7688698172569275,0.8987268805503845,0.8109692335128784,0.2850811183452606,4700
37,0.7603833675384521,0.89783775806427,0.8612611293792725,0.2959930896759033,4800
38,0.7769568562507629,0.9168750047683716,0.8032822012901306,0.2453010082244873,4900
39,0.7663738131523132,0.8971185088157654,0.8160575032234192,0.2941755950450897,5000
40,0.7722643613815308,0.8865445852279663,0.7437634468078613,0.32890838384628296,5100
41,0.773861825466156,0.9035807847976685,0.8095198273658752,0.2739052176475525,5200
42,0.7693690061569214,0.900306761264801,0.7908784747123718,0.2919367849826813,5300
43,0.7704672813415527,0.8780497312545776,0.7327802181243896,0.35362881422042847,5400
44,0.7790535092353821,0.8960183262825012,0.7756326198577881,0.3042132556438446,5500
45,0.782148540019989,0.896698534488678,0.740652859210968,0.2886066734790802,5600
46,0.7775558829307556,0.9116071462631226,0.7800810933113098,0.24494938552379608,5700
47,0.7645766735076904,0.9036312699317932,0.8473652005195618,0.2760860323905945,5800
48,0.7597843408584595,0.8911401033401489,0.8430362939834595,0.3019615709781647,5900
49,0.8230830430984497,1.0,1.4087646007537842,2.195186425524298e-05,6000
