epoch,test_acc,train_acc,test_loss,train_loss,Next training size
-1,0,0,0,0,1000
0,0.6261980533599854,0.9013671875,1.606502890586853,0.26550039649009705,1100
1,0.6396765112876892,0.8991071581840515,1.4497655630111694,0.30054858326911926,1200
2,0.6761181950569153,0.8955591917037964,1.1536048650741577,0.29610729217529297,1300
3,0.6587460041046143,0.8887194991111755,1.1721090078353882,0.3381214737892151,1400
4,0.670127809047699,0.8818655610084534,1.1584042310714722,0.33946001529693604,1500
5,0.6981828808784485,0.9225873947143555,1.133867859840393,0.24629957973957062,1600
6,0.6643370389938354,0.8687499761581421,1.1154125928878784,0.3692779541015625,1700
7,0.6766173839569092,0.859375,1.109764575958252,0.42420119047164917,1800
8,0.6769169569015503,0.8837719559669495,1.0956711769104004,0.33664411306381226,1900
9,0.7103634476661682,0.8991319537162781,1.115605354309082,0.2975296676158905,2000
10,0.6952875256538391,0.8769841194152832,1.0260921716690063,0.3324037790298462,2100
11,0.7131589651107788,0.9006628394126892,0.9810157418251038,0.2974390983581543,2200
12,0.7101637125015259,0.8875302076339722,1.0018552541732788,0.3241405189037323,2300
13,0.6951876878738403,0.91567462682724,1.075103998184204,0.24900971353054047,2400
14,0.7156549692153931,0.8979166746139526,0.999333381652832,0.3011567294597626,2500
15,0.7225439548492432,0.875,0.9199528694152832,0.36168351769447327,2600
16,0.7194488644599915,0.8628048896789551,0.9026107788085938,0.39941298961639404,2700
17,0.7264376878738403,0.9041666388511658,0.92487633228302,0.27753669023513794,2800
18,0.7127596139907837,0.89453125,1.0275784730911255,0.29588043689727783,2900
19,0.7386181950569153,0.8903846144676208,1.0045462846755981,0.3078472316265106,3000
20,0.71875,0.886857271194458,0.9651771783828735,0.32753831148147583,3100
21,0.7354233264923096,0.8851711750030518,0.910857081413269,0.32434433698654175,3200
22,0.7461062073707581,0.885937511920929,0.8003993034362793,0.31901970505714417,3300
23,0.7470048069953918,0.8840144276618958,0.8071781396865845,0.32847344875335693,3400
24,0.7291333675384521,0.8960280418395996,0.9325391054153442,0.30252063274383545,3500
25,0.7446086406707764,0.8808712363243103,0.9255020022392273,0.3453833758831024,3600
26,0.7544928193092346,0.8990597128868103,0.8394771218299866,0.2946898937225342,3700
27,0.7377196550369263,0.8959051966667175,0.9874590039253235,0.29231008887290955,3800
28,0.7646765112876892,0.8924194574356079,0.8231362104415894,0.3237232267856598,3900
29,0.7678713798522949,0.9033225774765015,0.7870116233825684,0.2989760935306549,4000
30,0.7546924948692322,0.8872500061988831,0.840721070766449,0.32659733295440674,4100
31,0.7518969774246216,0.8921996355056763,0.827193021774292,0.30476853251457214,4200
32,0.772164523601532,0.884706437587738,0.7375442385673523,0.3387179970741272,4300
33,0.7367212176322937,0.9051697254180908,0.9686181545257568,0.2866370975971222,4400
34,0.7684704661369324,0.9089673757553101,0.7819949984550476,0.271321564912796,4500
35,0.7301318049430847,0.8927748203277588,0.9153686165809631,0.30284154415130615,4600
36,0.7302316427230835,0.8985821604728699,0.8996856212615967,0.30693477392196655,4700
37,0.7586861252784729,0.8965318202972412,0.8284359574317932,0.30135220289230347,4800
38,0.780351459980011,0.9027083516120911,0.792424738407135,0.28391432762145996,4900
39,0.7816493511199951,0.901176929473877,0.7328652739524841,0.27706724405288696,5000
40,0.7823482155799866,0.8984872698783875,0.7778126001358032,0.28888142108917236,5100
41,0.778654158115387,0.8973307609558105,0.7551747560501099,0.3016344904899597,5200
42,0.763877809047699,0.9056748747825623,0.8261444568634033,0.271140992641449,5300
43,0.7824480533599854,0.9039909839630127,0.7646499872207642,0.28528517484664917,5400
44,0.7685703039169312,0.9060651063919067,0.7625827789306641,0.2763260304927826,5500
45,0.7830471396446228,0.9023048281669617,0.7462486624717712,0.2841913104057312,5600
46,0.7870407104492188,0.895892858505249,0.7238655686378479,0.2969701290130615,5700
47,0.7759584784507751,0.8961243033409119,0.7642259001731873,0.30707013607025146,5800
48,0.7823482155799866,0.8964629173278809,0.7265110015869141,0.3129251003265381,5900
49,0.8259784579277039,1.0,1.4600623846054077,1.7939806639333256e-05,6000
